Date,Open,High,Low,Close,Adj Close,Volume
1973-11-07,0.000000,5.750000,5.375000,5.375000,2.502499,600
1973-11-08,0.000000,5.875000,5.500000,5.500000,2.560696,2400
1973-11-09,0.000000,6.000000,5.625000,5.625000,2.618895,2200
1973-11-12,0.000000,6.000000,5.625000,5.625000,2.618895,1200
1973-11-13,0.000000,6.000000,5.625000,5.625000,2.618895,2400
1973-11-14,0.000000,5.875000,5.500000,5.500000,2.560696,2000
1973-11-15,0.000000,5.750000,5.375000,5.375000,2.502499,4200
1973-11-16,0.000000,5.875000,5.500000,5.500000,2.560696,1200
1973-11-19,0.000000,5.625000,5.250000,5.250000,2.444300,1600
1973-11-20,0.000000,5.500000,5.125000,5.125000,2.386104,1400
1973-11-21,0.000000,5.125000,4.750000,4.750000,2.211511,3200
1973-11-23,0.000000,5.000000,4.625000,4.625000,2.153313,600
1973-11-26,0.000000,4.750000,4.375000,4.375000,2.036918,4800
1973-11-27,0.000000,4.750000,4.375000,4.375000,2.036918,1000
1973-11-28,0.000000,4.750000,4.375000,4.375000,2.036918,2200
1973-11-29,0.000000,4.750000,4.375000,4.375000,2.036918,200
1973-11-30,0.000000,4.625000,4.250000,4.250000,1.978720,3400
1973-12-03,0.000000,4.625000,4.250000,4.250000,1.978720,400
1973-12-04,0.000000,4.875000,4.500000,4.500000,2.095115,1200
1973-12-05,0.000000,4.625000,4.250000,4.250000,1.978720,800
1973-12-06,0.000000,4.625000,4.250000,4.250000,1.978720,600
1973-12-07,0.000000,4.625000,4.250000,4.250000,1.978720,1000
1973-12-10,0.000000,4.625000,4.250000,4.250000,1.978720,1200
1973-12-11,0.000000,4.500000,4.125000,4.125000,1.920521,1400
1973-12-12,0.000000,4.375000,4.000000,4.000000,1.862325,2200
1973-12-13,0.000000,4.250000,3.875000,3.875000,1.804127,800
1973-12-14,0.000000,4.250000,3.875000,3.875000,1.804127,3400
1973-12-17,0.000000,4.250000,3.875000,3.875000,1.804127,2200
1973-12-18,0.000000,4.250000,3.875000,3.875000,1.804127,1000
1973-12-19,0.000000,4.375000,4.000000,4.000000,1.862325,3000
